video_id,agn_index,video_key,video_path,source_video,round_number,dataset_type,data_root,fight_index,fight_folder,frame_count,width,height,fps,punch_count
АГН-17,17,agn_017,Турнир Бокс/Бой2. Муродов-Колосков/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,2,Бой2. Муродов-Колосков,7954,1920,1080,,151
АГН-18,18,agn_018,Турнир Бокс/Бой2. Муродов-Колосков/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,2,Бой2. Муродов-Колосков,7882,1920,1080,,136
АГН-19,19,agn_019,Турнир Бокс/Бой2. Муродов-Колосков/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,2,Бой2. Муродов-Колосков,8446,1920,1080,,130
АГН-20,20,agn_020,Турнир Бокс/Бой3. Попов-Цзен/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,3,Бой3. Попов-Цзен,6992,1920,1080,,207
АГН-21,21,agn_021,Турнир Бокс/Бой3. Попов-Цзен/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,3,Бой3. Попов-Цзен,7961,1920,1080,,195
АГН-22,22,agn_022,Турнир Бокс/Бой3. Попов-Цзен/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,3,Бой3. Попов-Цзен,8609,1920,1080,,193
АГН-23,23,agn_023,Турнир Бокс/Бой4. Богданов-Ширинов/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,4,Бой4. Богданов-Ширинов,6994,1920,1080,,197
АГН-24,24,agn_024,Турнир Бокс/Бой4. Богданов-Ширинов/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,4,Бой4. Богданов-Ширинов,7084,1920,1080,,206
АГН-25,25,agn_025,Турнир Бокс/Бой4. Богданов-Ширинов/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,4,Бой4. Богданов-Ширинов,8622,1920,1080,,163
АГН-26,26,agn_026,Турнир Бокс/Бой5. Голованёв-Гагиев/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,5,Бой5. Голованёв-Гагиев,7800,1920,1080,,140
АГН-27,27,agn_027,Турнир Бокс/Бой5. Голованёв-Гагиев/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,5,Бой5. Голованёв-Гагиев,8490,1920,1080,,138
АГН-28,28,agn_028,Турнир Бокс/Бой5. Голованёв-Гагиев/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,5,Бой5. Голованёв-Гагиев,7922,1920,1080,,172
АГН-29,29,agn_029,Турнир Бокс/Бой6. Яковлев-Бобков/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,6,Бой6. Яковлев-Бобков,7891,1920,1080,,133
АГН-30,30,agn_030,Турнир Бокс/Бой6. Яковлев-Бобков/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,6,Бой6. Яковлев-Бобков,3672,1920,1080,,0
АГН-31,31,agn_031,Турнир Бокс/Бой7. Корольков-Минкевич/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,7,Бой7. Корольков-Минкевич,7132,1920,1080,,142
АГН-32,32,agn_032,Турнир Бокс/Бой7. Корольков-Минкевич/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,7,Бой7. Корольков-Минкевич,7617,1920,1080,,174
АГН-33,33,agn_033,Турнир Бокс/Бой7. Корольков-Минкевич/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,7,Бой7. Корольков-Минкевич,8346,1920,1080,,162
АГН-34,34,agn_034,Турнир Бокс/Бой8. Соколов-Колпашников/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,8,Бой8. Соколов-Колпашников,6980,1920,1080,,188
АГН-35,35,agn_035,Турнир Бокс/Бой8. Соколов-Колпашников/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,8,Бой8. Соколов-Колпашников,7132,1920,1080,,167
АГН-36,36,agn_036,Турнир Бокс/Бой8. Соколов-Колпашников/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,8,Бой8. Соколов-Колпашников,8892,1920,1080,,194
АГН-40,40,agn_040,Турнир Бокс/Бой10. Киреев-Набиев/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,10,Бой10. Киреев-Набиев,7315,1920,1080,,204
АГН-41,41,agn_041,Турнир Бокс/Бой10. Киреев-Набиев/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,10,Бой10. Киреев-Набиев,7315,1920,1080,,140
АГН-42,42,agn_042,Турнир Бокс/Бой10. Киреев-Набиев/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,10,Бой10. Киреев-Набиев,2700,1920,1080,,0
АГН-43,43,agn_043,Турнир Бокс/Бой11. Борисевич-Ермаков/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,11,Бой11. Борисевич-Ермаков,7740,1920,1080,,140
АГН-44,44,agn_044,Турнир Бокс/Бой11. Борисевич-Ермаков/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,11,Бой11. Борисевич-Ермаков,7891,1920,1080,,111
АГН-45,45,agn_045,Турнир Бокс/Бой11. Борисевич-Ермаков/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,11,Бой11. Борисевич-Ермаков,8104,1920,1080,,111
АГН-46,46,agn_046,Турнир Бокс 2/Бой 1. Дашипылов и Санников/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,1,Бой 1. Дашипылов и Санников,3517,1920,1080,,40
АГН-50,50,agn_050,Турнир Бокс 2/Бой 3. Захаров и Джабраилов/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,3,Бой 3. Захаров и Джабраилов,7295,1920,1080,,176
АГН-51,51,agn_051,Турнир Бокс 2/Бой 3. Захаров и Джабраилов/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,3,Бой 3. Захаров и Джабраилов,7392,1920,1080,,180
АГН-52,52,agn_052,Турнир Бокс 2/Бой 3. Захаров и Джабраилов/Раунд3.mp4,Раунд3.mp4,3,tournament_2,Турнир Бокс 2,3,Бой 3. Захаров и Джабраилов,6580,1920,1080,,122
АГН-53,53,agn_053,Турнир Бокс 2/Бой 4. Мусакеев и Сухарев/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,4,Бой 4. Мусакеев и Сухарев,7082,1920,1080,,170
АГН-54,54,agn_054,Турнир Бокс 2/Бой 4. Мусакеев и Сухарев/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,4,Бой 4. Мусакеев и Сухарев,6967,1920,1080,,161
АГН-55,55,agn_055,Турнир Бокс 2/Бой 4. Мусакеев и Сухарев/Раунд3.mp4,Раунд3.mp4,3,tournament_2,Турнир Бокс 2,4,Бой 4. Мусакеев и Сухарев,6947,1920,1080,,166
АГН-56,56,agn_056,Турнир Бокс 2/Бой 5. Иванов и Егоров/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,5,Бой 5. Иванов и Егоров,7121,1920,1080,,180
АГН-57,57,agn_057,Турнир Бокс 2/Бой 5. Иванов и Егоров/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,5,Бой 5. Иванов и Егоров,7276,1920,1080,,168
АГН-58,58,agn_058,Турнир Бокс 2/Бой 5. Иванов и Егоров/Раунд3.mp4,Раунд3.mp4,3,tournament_2,Турнир Бокс 2,5,Бой 5. Иванов и Егоров,4490,1920,1080,,104
АГН-59,59,agn_059,Турнир Бокс 2/Бой 6. Крюков и Левин/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,6,Бой 6. Крюков и Левин,7121,1920,1080,,205
АГН-60,60,agn_060,Турнир Бокс 2/Бой 6. Крюков и Левин/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,6,Бой 6. Крюков и Левин,4122,1920,1080,,64
АГН-61,61,agn_061,Турнир Бокс 2/Бой 7. Валихматов и Сургучев/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,7,Бой 7. Валихматов и Сургучев,7083,1920,1080,,106
АГН-65,65,agn_065,Турнир Бокс 2/Бой 9. Барсуков и Семенов/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,9,Бой 9. Барсуков и Семенов,7508,1920,1080,,230
АГН-66,66,agn_066,Турнир Бокс 2/Бой 9. Барсуков и Семенов/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,9,Бой 9. Барсуков и Семенов,7393,1920,1080,,153
АГН-67,67,agn_067,Турнир Бокс 2/Бой 9. Барсуков и Семенов/Раунд3.mp4,Раунд3.mp4,3,tournament_2,Турнир Бокс 2,9,Бой 9. Барсуков и Семенов,6482,1920,1080,,169
АГН-68,68,agn_068,Турнир Бокс 2/Бой 10. Пантелеев и Мырзагали/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,10,Бой 10. Пантелеев и Мырзагали,639,1920,1080,,0
АГН-69,69,agn_069,Турнир Бокс 2/Бой 11. Вячеслав и Павлов/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,11,Бой 11. Вячеслав и Павлов,7199,1920,1080,,175
АГН-70,70,agn_070,Турнир Бокс 2/Бой 11. Вячеслав и Павлов/Раунд2.mp4,Раунд2.mp4,2,tournament_2,Турнир Бокс 2,11,Бой 11. Вячеслав и Павлов,7218,1920,1080,,183
АГН-71,71,agn_071,Турнир Бокс 2/Бой 11. Вячеслав и Павлов/Раунд3.mp4,Раунд3.mp4,3,tournament_2,Турнир Бокс 2,11,Бой 11. Вячеслав и Павлов,6579,1920,1080,,161
АГН-72,72,agn_072,Турнир Бокс 2/Бой 12. Попов и Резанов/Раунд1.mp4,Раунд1.mp4,1,tournament_2,Турнир Бокс 2,12,Бой 12. Попов и Резанов,5496,1920,1080,,87
